epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
69,545.099,0.85657,2.29801,0.00771,0.54038,0.79182,0.72703,0.51251,1.07258,2.80505,0.01072,0.000363075,0.000363075,0.000363075
70,551.393,0.86341,2.16325,0.00773,0.56513,0.69683,0.72867,0.50863,1.14624,2.77007,0.0117,0.000352076,0.000352076,0.000352076
71,557.21,0.83319,2.22086,0.00739,0.56513,0.69683,0.72867,0.50863,1.14624,2.77007,0.0117,0.000341077,0.000341077,0.000341077
72,563.029,0.85207,2.28697,0.00675,0.59716,0.65908,0.75139,0.50352,1.13441,2.74551,0.01172,0.000330078,0.000330078,0.000330078
73,568.887,0.84288,2.11366,0.00767,0.59716,0.65908,0.75139,0.50352,1.13441,2.74551,0.01172,0.000319079,0.000319079,0.000319079
74,574.803,0.84876,2.22604,0.0067,0.66102,0.64,0.76032,0.51326,1.11407,2.72731,0.01149,0.00030808,0.00030808,0.00030808
75,580.599,0.93923,2.22201,0.00749,0.66102,0.64,0.76032,0.51326,1.11407,2.72731,0.01149,0.000297081,0.000297081,0.000297081
76,586.695,0.74279,2.07404,0.00636,0.69479,0.6,0.7622,0.52361,1.08659,2.71696,0.01086,0.000286083,0.000286083,0.000286083
77,592.541,0.87709,2.04168,0.00701,0.80426,0.62639,0.77489,0.53978,0.98469,2.76237,0.00983,0.000275084,0.000275084,0.000275084
78,598.493,0.78209,2.17714,0.0067,0.80426,0.62639,0.77489,0.53978,0.98469,2.76237,0.00983,0.000264085,0.000264085,0.000264085
79,604.393,0.77791,1.9959,0.00682,0.70751,0.60245,0.77059,0.52992,0.97232,2.75339,0.00978,0.000253086,0.000253086,0.000253086
80,610.24,0.76646,2.16187,0.00661,0.70751,0.60245,0.77059,0.52992,0.97232,2.75339,0.00978,0.000242087,0.000242087,0.000242087
81,616.14,0.89342,2.12005,0.00771,0.60797,0.66544,0.77403,0.52857,0.99395,2.72406,0.00984,0.000231088,0.000231088,0.000231088
82,622.139,0.8219,2.21463,0.0078,0.60797,0.66544,0.77403,0.52857,0.99395,2.72406,0.00984,0.000220089,0.000220089,0.000220089
83,629.788,0.9081,2.20771,0.00748,0.59561,0.6832,0.77837,0.53472,0.9748,2.72607,0.0094,0.00020909,0.00020909,0.00020909
84,638.225,0.79402,2.10039,0.00716,0.55076,0.78238,0.77753,0.5377,0.95592,2.70993,0.00901,0.000198091,0.000198091,0.000198091
85,646.77,0.8127,2.12528,0.00747,0.55076,0.78238,0.77753,0.5377,0.95592,2.70993,0.00901,0.000187092,0.000187092,0.000187092
86,655.185,0.85346,2.15144,0.0067,0.57078,0.79161,0.78253,0.54476,0.95603,2.70892,0.009,0.000176094,0.000176094,0.000176094
87,662.239,0.93353,2.20948,0.00807,0.57078,0.79161,0.78253,0.54476,0.95603,2.70892,0.009,0.000165095,0.000165095,0.000165095
88,668.282,0.89002,2.34653,0.0083,0.57793,0.7796,0.80331,0.55861,0.95269,2.70395,0.0091,0.000154096,0.000154096,0.000154096
89,674.047,0.84413,2.07411,0.00723,0.57793,0.7796,0.80331,0.55861,0.95269,2.70395,0.0091,0.000143097,0.000143097,0.000143097
90,679.967,0.80766,2.01782,0.00727,0.56714,0.78349,0.8034,0.55785,0.95546,2.70894,0.0093,0.000132098,0.000132098,0.000132098
91,686.01,0.73395,2.10719,0.0068,0.55644,0.79121,0.80599,0.5534,0.96081,2.71772,0.00944,0.000121099,0.000121099,0.000121099
92,691.696,0.68288,2.11269,0.00625,0.55644,0.79121,0.80599,0.5534,0.96081,2.71772,0.00944,0.0001101,0.0001101,0.0001101
93,697.56,0.88,2.24942,0.0071,0.5594,0.78344,0.80203,0.55119,0.96468,2.72498,0.00956,9.91012e-05,9.91012e-05,9.91012e-05
94,703.468,0.6721,2.1419,0.00637,0.5594,0.78344,0.80203,0.55119,0.96468,2.72498,0.00956,8.81023e-05,8.81023e-05,8.81023e-05
95,709.394,0.6805,2.16531,0.00604,0.62678,0.70794,0.79439,0.54377,0.95974,2.72465,0.00956,7.71034e-05,7.71034e-05,7.71034e-05
96,715.184,0.73103,2.05058,0.00656,0.62678,0.70794,0.79439,0.54377,0.95974,2.72465,0.00956,6.61045e-05,6.61045e-05,6.61045e-05
97,720.992,0.69874,2.06149,0.00671,0.56936,0.78059,0.7914,0.54333,0.98703,2.72042,0.00972,5.51056e-05,5.51056e-05,5.51056e-05
98,727.321,0.66083,2.18828,0.00667,0.70075,0.68371,0.78681,0.54418,0.98384,2.72463,0.00968,4.41067e-05,4.41067e-05,4.41067e-05
99,733.201,0.79844,2.14467,0.00766,0.70075,0.68371,0.78681,0.54418,0.98384,2.72463,0.00968,3.31078e-05,3.31078e-05,3.31078e-05
100,739.107,0.79634,2.09809,0.00712,0.69773,0.68029,0.79295,0.55102,0.98812,2.72452,0.00967,2.21089e-05,2.21089e-05,2.21089e-05
