epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
53,506.635,0.53672,0.38407,0.01601,0.00219,0.98914,0.9946,0.99485,0.87692,0.51633,0.35783,0.01269,0.001,0.000316104,0.000316104,0.000316104
54,515.32,0.54456,0.38304,0.01674,0.00224,0.98965,0.99298,0.99485,0.87798,0.51824,0.36251,0.01286,0.00105,0.000305764,0.000305764,0.000305764
55,523.933,0.54045,0.37908,0.0163,0.00214,0.9834,0.99699,0.995,0.8789,0.52961,0.34423,0.01223,0.0011,0.000295454,0.000295454,0.000295454
56,532.443,0.55969,0.39134,0.01632,0.00205,0.98983,0.9934,0.99485,0.88028,0.51186,0.32836,0.01255,0.00114,0.000285186,0.000285186,0.000285186
57,541.112,0.54684,0.38502,0.01713,0.00206,0.98868,0.99098,0.99485,0.87901,0.52754,0.34097,0.01264,0.00128,0.000274968,0.000274968,0.000274968
58,549.675,0.53763,0.37022,0.01733,0.00233,0.99231,0.98957,0.99485,0.88224,0.51567,0.34624,0.0126,0.00103,0.000264812,0.000264812,0.000264812
59,558.382,0.51769,0.36847,0.01864,0.00211,0.99243,0.98931,0.9947,0.87518,0.51083,0.33301,0.01227,0.00109,0.000254726,0.000254726,0.000254726
60,566.972,0.53272,0.3903,0.0182,0.00205,0.99305,0.9912,0.99485,0.88092,0.50125,0.30782,0.0123,0.00089,0.000244722,0.000244722,0.000244722
61,575.499,0.52999,0.36087,0.01712,0.00222,0.98954,0.9933,0.99485,0.88124,0.52608,0.32458,0.0125,0.00106,0.000234808,0.000234808,0.000234808
62,584.221,0.52534,0.38539,0.01753,0.00224,0.98674,0.992,0.99485,0.87836,0.5165,0.3544,0.0124,0.00101,0.000224996,0.000224996,0.000224996
63,592.848,0.5134,0.35619,0.01733,0.00192,0.98937,0.99103,0.99485,0.87802,0.50522,0.33296,0.01236,0.00105,0.000215293,0.000215293,0.000215293
64,601.776,0.52065,0.36133,0.01923,0.00205,0.98937,0.99388,0.99485,0.88138,0.52046,0.33039,0.01267,0.00093,0.000205711,0.000205711,0.000205711
65,610.371,0.52954,0.36273,0.01877,0.0019,0.9893,0.99305,0.99485,0.88124,0.5094,0.32546,0.01268,0.00083,0.000196258,0.000196258,0.000196258
66,619.34,0.53301,0.37162,0.01707,0.00213,0.98927,0.99023,0.99485,0.88271,0.50322,0.31314,0.0123,0.00084,0.000186943,0.000186943,0.000186943
67,627.903,0.52851,0.37058,0.01819,0.00211,0.988,0.99651,0.995,0.8815,0.49614,0.31726,0.01244,0.0008,0.000177777,0.000177777,0.000177777
68,636.491,0.5157,0.34944,0.01607,0.00201,0.99086,0.99169,0.99485,0.88159,0.49359,0.32126,0.01233,0.00091,0.000168767,0.000168767,0.000168767
69,645.162,0.50986,0.34901,0.02002,0.00199,0.99456,0.99023,0.99485,0.88489,0.49669,0.31878,0.01231,0.00084,0.000159924,0.000159924,0.000159924
70,654.087,0.50868,0.35042,0.01609,0.002,0.99316,0.99162,0.99485,0.88855,0.48799,0.31664,0.01212,0.00084,0.000151255,0.000151255,0.000151255
71,662.759,0.50081,0.35205,0.01785,0.00179,0.99384,0.99019,0.99485,0.88509,0.48774,0.31202,0.01203,0.00086,0.000142769,0.000142769,0.000142769
72,671.522,0.49981,0.35556,0.01948,0.00166,0.99338,0.98996,0.99485,0.885,0.4997,0.31414,0.01237,0.00087,0.000134475,0.000134475,0.000134475
73,680.195,0.49102,0.34939,0.02011,0.0018,0.99252,0.98943,0.99485,0.88548,0.4884,0.31997,0.01214,0.00086,0.00012638,0.00012638,0.00012638
74,688.688,0.48647,0.34101,0.01757,0.00187,0.99426,0.98951,0.99485,0.88769,0.49786,0.3156,0.01239,0.00093,0.000118493,0.000118493,0.000118493
75,697.581,0.48776,0.33302,0.01572,0.00164,0.99377,0.9893,0.99485,0.88476,0.49128,0.30947,0.01228,0.00102,0.000110822,0.000110822,0.000110822
76,706.315,0.49246,0.35312,0.01937,0.00179,0.99362,0.98916,0.99485,0.88142,0.5035,0.3117,0.01224,0.00101,0.000103373,0.000103373,0.000103373
77,715.266,0.48949,0.34616,0.01656,0.00162,0.99386,0.98959,0.99485,0.87818,0.50943,0.31332,0.01242,0.00088,9.61551e-05,9.61551e-05,9.61551e-05
78,723.859,0.4838,0.32936,0.01882,0.00168,0.99213,0.99043,0.99485,0.88391,0.49669,0.31512,0.01218,0.00087,8.91746e-05,8.91746e-05,8.91746e-05
