epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,306.161,0.88259,0.34886,0.42112,0.02552,0.15175,0.99807,0.96875,0.965,0.76432,0.99807,0.96875,0.965,0.92862,0.76557,0.51375,0.25379,0.03077,0,0.00110317,0.00110317,0.00110317
49,312.828,0.86625,0.37195,0.37816,0.02627,0.14691,0.99809,0.96875,0.965,0.77199,0.99809,0.96875,0.965,0.88789,0.73782,0.67343,0.21785,0.02953,0,0.00107216,0.00107216,0.00107216
50,321.612,0.85811,0.40133,0.42139,0.02479,0.17397,0.99806,0.96875,0.965,0.77532,0.99806,0.96875,0.965,0.87777,0.79493,0.69887,0.28558,0.03197,0,0.0010411,0.0010411,0.0010411
51,329.992,0.81676,0.32235,0.38513,0.02493,0.12384,0.99801,0.96875,0.965,0.75152,0.99801,0.96875,0.965,0.90447,1.07287,0.68685,0.42107,0.04558,0,0.00101,0.00101,0.00101
52,338.817,0.79722,0.3311,0.42318,0.02339,0.11539,0.99807,0.96875,0.965,0.71329,0.99807,0.96875,0.965,0.90039,1.09515,0.64771,0.33894,0.04706,0,0.000978903,0.000978903,0.000978903
53,347.931,0.83406,0.39355,0.4068,0.02385,0.1248,0.9981,0.96875,0.965,0.77138,0.9981,0.96875,0.965,0.90144,0.71941,0.67635,0.27653,0.02878,0,0.000947837,0.000947837,0.000947837
54,357.393,0.86959,0.26017,0.38234,0.0259,0.10118,0.99809,0.96875,0.965,0.77261,0.99809,0.96875,0.965,0.90178,0.77921,0.73015,0.286,0.03141,0,0.000916833,0.000916833,0.000916833
55,362.833,0.87815,0.37897,0.43046,0.02527,0.13494,0.99804,0.96875,0.965,0.75385,0.99804,0.96875,0.965,0.90101,1.00811,0.72817,0.35121,0.04222,0,0.00088592,0.00088592,0.00088592
56,368.261,0.81268,0.3384,0.33561,0.02353,0.12135,0.99798,0.96875,0.965,0.67562,0.99798,0.96875,0.965,0.8996,1.26164,0.6899,0.34869,0.05347,0,0.00085513,0.00085513,0.00085513
57,373.713,0.81058,0.28373,0.37145,0.02548,0.12566,0.99793,0.96875,0.965,0.75229,0.99793,0.96875,0.965,0.90241,0.9505,0.64629,0.32737,0.03902,0,0.000824492,0.000824492,0.000824492
58,379.309,0.79925,0.30467,0.40885,0.02385,0.12673,0.99795,0.96875,0.965,0.74458,0.99795,0.96875,0.965,0.90264,1.05503,0.59368,0.33664,0.04355,0,0.000794038,0.000794038,0.000794038
59,384.836,0.85717,0.27748,0.37498,0.02599,0.12796,0.99804,0.96875,0.965,0.79228,0.99804,0.96875,0.965,0.90096,0.9116,0.56741,0.30863,0.03708,0,0.000763797,0.000763797,0.000763797
