epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
86,5704.16,0.76783,0.44293,0.00524,0.94016,0.98075,0.99017,0.72654,1.01035,0.50758,0.00723,0.00010572,0.00010572,0.00010572
87,5764.75,0.78364,0.4277,0.00555,0.95517,0.96089,0.98909,0.71515,1.04513,0.51273,0.00776,9.91162e-05,9.91162e-05,9.91162e-05
88,5825.73,0.74464,0.39663,0.00549,0.94312,0.95986,0.99019,0.73396,0.98566,0.50323,0.00748,9.25129e-05,9.25129e-05,9.25129e-05
89,5886.83,0.73242,0.40318,0.00505,0.94741,0.93622,0.98995,0.76594,0.9068,0.47642,0.00686,8.59096e-05,8.59096e-05,8.59096e-05
90,5947.32,0.73156,0.39462,0.00534,0.95875,0.9549,0.99364,0.76833,0.87763,0.4559,0.00664,7.93063e-05,7.93063e-05,7.93063e-05
91,6007.97,0.70541,0.33861,0.00603,0.96436,0.95066,0.99432,0.771,0.87256,0.45266,0.00659,7.2703e-05,7.2703e-05,7.2703e-05
92,6067.98,0.70981,0.32784,0.00598,0.96015,0.96314,0.99432,0.77125,0.87221,0.44891,0.0065,6.60997e-05,6.60997e-05,6.60997e-05
93,6127.98,0.65416,0.32505,0.00536,0.97838,0.95127,0.99432,0.76866,0.89083,0.45577,0.00647,5.94964e-05,5.94964e-05,5.94964e-05
94,6187.86,0.63936,0.3077,0.00522,0.97161,0.96178,0.99432,0.751,0.93901,0.47256,0.00667,5.28931e-05,5.28931e-05,5.28931e-05
95,6247.61,0.65533,0.28906,0.00538,0.96667,0.96169,0.99349,0.74014,0.97354,0.48286,0.00685,4.62898e-05,4.62898e-05,4.62898e-05
96,6307.42,0.66055,0.32113,0.00542,0.96901,0.96417,0.99432,0.73547,1.00261,0.48971,0.00699,3.96865e-05,3.96865e-05,3.96865e-05
97,6368.45,0.66238,0.31973,0.00537,0.96493,0.96711,0.99349,0.73235,0.99943,0.48971,0.00694,3.30832e-05,3.30832e-05,3.30832e-05
98,6428.18,0.66839,0.31653,0.00529,0.96287,0.9683,0.99349,0.73532,0.98084,0.48702,0.00683,2.64799e-05,2.64799e-05,2.64799e-05
99,6487.86,0.64246,0.28988,0.00503,0.96279,0.97023,0.99349,0.73904,0.97464,0.48232,0.00681,1.98766e-05,1.98766e-05,1.98766e-05
100,6547.23,0.64429,0.30129,0.00498,0.96569,0.96729,0.99349,0.74377,0.96076,0.4763,0.00673,1.32733e-05,1.32733e-05,1.32733e-05
